AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,sequentiality
3ZQIG0FLQF2OJZX6ZHGZTFYKIIPVW6,3266,F0DS0UTH,30.0,man,white,1.0,3.0,,4.0,3.0445224377234235,seeing an accident while playing with my daughter,imagined,when the girl got hit by a car,0.25,,31T4R4OBOT2DUBQ50SDIB7BE48M7CF,4.0,i have a daughter,I have a young daughter. She is so beautiful and she means the world to me. We like to play in front of our house often. One day I was out in the yard watching her play. She was jumping rope and having a good time. She didn't have a care in the world. It was just a normal day. The next thing I knew I heard a loud bang down the street. A little girl had just been hit by a vehicle. I was terrified. I ran down the street as fast as I could. I ran over to her to check on her. She was bleeding. I called emergency services on my phone. I told them what was happening and they needed to hurry about as fast as they could. They got their and took the girl off to the hospital.,4.0,I was with my daughter watching her play. I ended up seeing a girl get hit by a car. I tried to help her after.,21.0,494.1778966730021
3UN61F00HXB2D915UWOG2IW4OM95RW,659,K6PWXC3F,18.0,man,white,3.0,1.0,2.0,1.0,3.0445224377234235,determining the cause of my symptoms.,recalled,I felt dizziness,0.0,,3UN61F00HXB2D915UWOG2IW4OM95RW,,,I recently had to get a MRI done.  I have been feeling a lot of dizziness lately.  It is a little unsettling.  I have no problems with MRI's though.  It was honestly kind of relaxing.  I am lucky that I am not claustrophobic.  Getting an MRI done can be very helpful.  It can help your doctors determine what is causing symptoms.  MRI stands for Magnetic Resonance Imaging. It uses a magnetic field and radio waves to make images. I have not heard the results yet.  I am not too worried because my symptoms have not been getting worse.  I trust my doctors and MRIs.  I am not sure how expensive a MRI would be without insurance.  Luckily I had insurance to cover it.,2.0,I have been feeling dizziness lately.  I had to get an MRI.  I trust the MRI will be beneficial in determining what should be done next for my health.,21.0,435.6651934581269
3KMS4QQVK3C8S2HZAOSSNI1388NKFP,860,B2U9VEFQ,25.0,man,white,1.0,1.0,,1.0,4.0943445622221,a baby laughing,imagined,the baby laughs,1.0,,3EFE17QCRDRQUHLDANPUHP4Q51GSHJ,1.0,I never had a son or daughter,"Having  a baby is hard work. I knew that going in and thought I was prepared but boy was I wrong. My little guy came out and wreaked havoc on my life for a bit. I couldn't sleep, i barely ate and was always tired. It seemed endless and like it was going on forever. But that all changed about 2 months ago. I heard my baby boy laugh. that laugh put so much joy in my heart. I was walking on clouds at that point. I started to cry thinking about all the nice things that will happen in the future. I am ready to watch my son grow and continue to laugh. It wont be easy but I am prepared. I can do anything as long as I provide for him. He is my everything and I couldnt ask for a more precious boy. My life is complete when he is around.",1.0,My son laughed for the first time. I was overcome with emotions as a result. I nervously look forward to his future.,60.0,491.7826545796631
3H0W84IWBLO29SUY5XHJ6C2HQA8ERL,5699,TESI20WC,18.0,woman,white,1.0,2.0,,3.0,5.1929568508902095,me getting stabbed at a 7-11.,imagined,i found out how hard it is to find a good therapist.,0.875,,3TXD01ZLD53CXIPMKL0B21DAK8A4UD,3.0,I have seen a robbery happening real time.,"I can't believe how rough this year was. Never in my wildest dreams had i thought this year would be like this. I got stabbed for godsakes! It happened at the local 7-11. We were coming back after a concert, me and mary. Mary went to fill gas in the car, and i went to the 7-11 to get something to drink. I knew that it was a dangerous neighborhood. But who would expect to get stabbed? A masked man came rushing in, and grabbed on to my purse. I fought back. The last thing i remember was seeing a box cutter. He had stabbed me. Mary called the cops and i was rushed into the hospital for an exploratory surgery. Dealing with the cops was even more frustrating. I badly need to see a therapist. It is surprising how hard it is to find a good therapist these days.",3.0,I got stabbed in a 7-11 by a box cutter and had to have exploratory surgery. From there I've had to navigate interviewing with the police and finding a therapist.,180.0,551.1481497109639
3KJYX6QCMAX2DFX7SIXK4P4D5UWVJY,7276,7L6UU98O,35.0,man,black,1.0,5.0,5.0,5.0,5.1929568508902095,I lost my cats but they found homes,retold,The friend willing to take in one of my cats,-0.625,31Z0PCVWUL1UGSSGME880HBIR0XT76,,,,"I’m not sure if this should be updated or not to be honest. I lost my cats to a living situation. One remained at a shelter. She was later adopted. The other was given to a friend. Today I still don’t know what became of the one was adopted. The other is in a happy home with a friend. Oh Christmas night she posted a video of home. He looks fat and happy as ever. It’s bitter sweet . I miss them gravely. I’m also happy that they are in good hands with a family that will love , shelter , and but it’s them. Like I stated earlier I really think I’m done with animals. I can’t deal with the heartbreak anymore . I will still love them. But only from afar. I hope I ceobvyed my feelings . This was hard  very hard.",5.0,Lost my cats a few months back They are both with happy families now. So it all worked out in the end,180.0,1147.521974998871
3URFVVM1664S0FDB5EQ1WXQJES9ZUN,2863,T14LQCEU,30.0,man,hisp,3.0,2.0,4.0,5.0,4.0943445622221,My family drama,recalled,Them lying about what was wrong,1.0,,3URFVVM1664S0FDB5EQ1WXQJES9ZUN,,,"Well this all started about one month ago. I asked my mother and father if it was okay that I move in to the family house for a couple of weeks since the wife and I were in the process of buying our first home. I thought everything would be okay but my mom failed to return an answer to me that same day, in fact she never answered me about the question as a matter of fact. After this they both started acting weird with me, not returning my calls and just being very distant with me, it was awkward and frankly, it hurt me. I finally had the nerve to ask them what was wrong and why they did not include me. They did not have an answer for me instead they behaved as if nothing happened, it was disheartening and made me lose all hope. I gave up and went a few days without even thinking about them when my sister messaged me, she said she had something important to tell me. I immediately messaged her back and we agreed to have some coffee that same evening. We met up that day and my sister said she had some big news to tell me, which I was surprised to hear, even more surprised when she told me the reason my parents were distant these past few weeks. She said that all this time they had been lying to me about not being angry and in reality they were very mad at me. The reason? Apparently they could not fathom that I did not baptize my child under their Catholic customs, which is something I was always vehement about not believing, but they did not want to see it nor care until now when it was my daughter's turn to be baptized, they felt it was my duty as a born Catholic. I was enraged and I vowed never to speak to them again. I haven't since then, they have yet to call me or even send me a text. This was very surprising to me and I never imagined to be in this predicament.",1.0,"My family basically disowned me for not following their rigid religious beliefs. They lied to me and acted as if nothing was wrong, when push came to shove they shut me out without a word.",60.0,622.1814029273221
3VA45EW49O90SE861H505XEJFXM1OB,800,HKAZ12AS,25.0,man,white,1.0,2.0,3.0,4.0,5.598421958998375,going on a tough hike in the mountains.,retold,I realized the hike would be more difficult than usual.,0.625,3R3YRB5GRGPRZ753TMA2F4ZACGSUAW,,,,"I went hiking on a trail that I have hiked many times before. It was a beautiful day and I was incredibly excited. I drove about three hours to the hiking trail. I do not live in the mountains so I have to drive out of town to go hiking. I love hiking so I do this quite often even though I have to drive so far. When I got there I loaded my gear up into my backpack and made sure I had everything. I began the hike and felt pretty good about the task ahead. I had hiked this trail many times so I was not expecting much difficulty. However, I quickly found myself struggling to catch my breath. I'm not sure why, but on that particular day I was having a hard time making it to the top. The hike was ultimately a tough battle, but when I made it to the top the views were breathtaking. I learned that day that sometimes the mountain does not simply hand you a win. Sometimes victories must be earned through hard work and determination. I left the hike that day feeling incredibly accomplished. I have since been back to hike that trail at least one other time. I always remember that particularly tough day on the trail when I'm there.",2.0,"I went hiking on one of my favorite trails in the mountains. It was a tough hike, but I ultimately made it to the end.",270.0,586.8933301044319
3PJ71Z61R5OXLR40ZSMI87JTU7U91P,700,T8HQ1XZE,25.0,woman,white,1.0,2.0,4.0,5.0,5.010635294096256,attending a wedding and saying good-bye to a loved one.,recalled,I ate the spiciest wings known to man.,1.0,,3PJ71Z61R5OXLR40ZSMI87JTU7U91P,,,"In late March, I flew to Chicago with my boyfriend for a wedding. One of his close friends from college was getting married to her boyfriend of 10 years, and I was invited as my boyfriend's +1. This was more than a wedding for me though, as this would be the last weekend we would spend together before he deploys. My boyfriend is in a branch of the military here in the United States. Due to recent political events, his deployment had been up in the air. One day his deployment was cancelled (yay!), whereas other days he was set to leave the following week. He had finally received word in mid-March that he would be leaving at the beginning of April, just a couple of days after his friend's wedding. The weekend of the wedding, we flew into Chicago and lazily made our way to our hotel. I had never been to Chicago before and I was really excited to see the sights and enjoy the food. After checking in, we met up with his group of friends at a rooftop bar. After devouring the spiciest wings known to man, we all took shots and then made our way downtown. The night was honestly a blur, but I can clearly remember how I was feeling. I had never felt more in love...or as sad. After we returned from a wonderful weekend where we spent time with my boyfriend's friends and danced our hearts out at the wedding, the reality of this deployment hit me head-on. And just a few short days after our return from Chicago, I said good-bye to my boyfriend at the airport.",2.0,"I went to Chicago for a wedding with my boyfriend. An otherwise happy, romantic event was made somewhat sour by my boyfriend's inevitable deployment upon return home.",150.0,805.9631846734316
3LO69W1SU4ZPQ8VC68ABK3EU0ISLGK,1154,4UXHFRBK,45.0,woman,white,2.0,4.0,4.0,5.0,5.3471075307174685,a family cabin being taken off the market.,retold,my dad decided to place it on the market.,0.25,3R08VXYT7DHM89WAHJDJN1IHOHNW7A,,,,"My father decided to take our family cabin off the market. In 2018 he put our family cabin up for sale. He had been diagnosed with tonsil cancer. To me this was just a knee jerk reaction He felt he might not be around much longer. I feel he didn't want to leave us with what he might think was a burden financially. We all tried to tell him this was not a good decision. However, no one knew his personal struggle at the time. We didn't want to upset him more than he already was. We were all very surprised when he chose to do this. No matter how much we talked to him and tried to get him to change his mind he did not. We made the most of that ""last"" summer at the lake. It was difficult but what mattered most was his health. We were very pleasantly surprised when my dad told me that he was letting the contract end. He decided he was not going to renew the contract. Our cabin would remain in the family. This was the most wonderful gift ever. While 2018 was awful, 2019 has been good to us. We not only got to keep the cabin and were very thankful it did not sell, but my dad is cancer free. This cabin has been a part of my life for over 40 years now and has been a big part of my life every summer. While I was hurt he put it on the market, my surprise at him taking it off is something I will always remember. It helped me realize to live each special moment making memories because you never know when things might change. Life is precious and we sometimes need those reminders. This was a hard wake up call and I am forever grateful for it. We still have questions as to why he did it in the first place but happy he changed his mind. We are also hoping this does not happen in the future.",4.0,My father took our family cabin off the market. He had placed it on the market a year earlier after being diagnosed with cancer.,210.0,997.2635909082261
3OHYZ19UGDRWM2L6X0YTGY7MJZEOAO,2121,MU7VCYZE,30.0,man,black,1.0,1.0,,3.0,4.499809670330264,Finding my dog.,imagined,The man says that it's his dog.,1.0,,34S6N1K2ZW53Q4QNQEST53QVE9KHLB,3.0,I can relate to losing pets and having to search for them.,"About three months ago I get a call from my daughter saying that she saw Peanut in a yard. Peanut is our dog and he had been missing for quite some time. I quickly hurried home to grab her and then we headed over to where she thought she saw him. He's a rotty without the tail docked so he's pretty unique to his breed. We get there and I start investigating. I don't see Peanut and I start to think my daughter is just going through the grieving stage when I hear a cry. All of a sudden Peanut comes running to the fence, crying and wagging his tail in joy. I greet him with all the affection in the world as he had been gone for three months already. The man who owns the house hears the fuss and comes outside. I thank him for finding my dog and taking good care of him but he insists that he had the dog for years and that I can't have him. I tell him that this is none other than my dog and all we have to do is check the chip to verify. He is having none of it and calls the police. I tell him that he is more than welcome and that will help solve the situation sooner. The police arrive and hear the story for themselves. They then check the chip and sure enough my story checks out. They let me take Peanut home and I scoop him up and put him in the car so he can get back to his true home.",1.0,"My dog had been missing for 3 months. My daughter said she had saw him in a yard.So we went there, it sure was Peanut, he was happy to see us.The man there said he had dog for years.He said he was going to call police, I said good.When police arrived.They said take your dog.",90.0,417.855893631198
37UQDCYH6YH9TKW5R98N1ZZ3HY47VA,651,AL79NVGN,35.0,man,white,1.0,2.0,,4.0,3.4011973816621555,my nephew being born,imagined,she went into labor thanksgiving eve,0.75,,3PMBY0YE28PH8UEYFPB2P32KQAV9CT,2.0,it was somewhat true because my nephew was born this way,"we were all home for thanksgiving, we had been cooking the day before and my brother and his wife had just arrived. she was a big as a house, meaning she was pregnant and expecting anyday. we had been watching some football and the wives were outback by the pool late in the evening when I heard a scream. i rushed out back only to see my wife with a look of disbelief and surprise , it was time, we had brought things with us just in case and we were ready. my brother ran to the truck our parents helped her to the front door, almost having to carry her. and then she yelled again. it happened in an instant and the water broke. thank god the hospital is only 5 minutes away we were there in 1 minute as i drove like a bat out of hell. so we get there the nurses take her back and i get suited up. i rush to the back and my brother and parents go to the waiting room, she was in labor for around 2 hours but everything went fairly smooth and fast. at 8:51 thanksgiving even jacob was born. a smiling baby boy. i thought he came out smiling but it was actually a breech birth. meaning he thought his butt was him smiling. we all got a pictures, and the rest of the family came back. she went into recovery and we all clelebrated Thanksgiving in the hospital but it was the best thanksgiving anyone could ever ask for. Jacob reiley walt was brought into the world and changed my life forever.",3.0,It was the birth of my nephew which happened of a weekend when every body was at home. we rush my brothers wife to the hospital and she gave birth to a baby boy.,30.0,1063.5204304543674
