no.,story_id,memType,splits,NLLt,NLLc,sequentiality0-1,sequentiality0-2,sequentiality0-3,sequentiality0-4
0,32RIADZISTQWI5XIVG5BN0VMYFRS4U,imagined,"['Concerts are my most favorite thing, and my boyfriend knew it.', ""That's why, for our anniversary, he got me tickets to see my favorite artist."", 'Not only that, but the tickets were for an outdoor show, which I love much more than being in a crowded stadium.', 'Since he knew I was such a big fan of music, he got tickets for himself, and even a couple of my friends.', 'He is so incredibly nice and considerate to me and what I like to do.', 'I will always remember this event and I will always cherish him.', 'On the day of the concert, I got ready, and he picked me up and we went out to a restaurant beforehand.', 'He is so incredibly romantic.', 'He knew exactly where to take me without asking.', 'We ate, laughed, and had a wonderful dinner date before the big event.', 'We arrived at the concert and the music was so incredibly beautiful.', 'I loved every minute of it.', 'My friends, boyfriend, and I all sat down next to each other.', 'As the music was slowly dying down, I found us all getting lost just staring at the stars.', 'It was such an incredibly unforgettable and beautiful night.']",-3.601742711,-3979.925696,-0.203499427,-0.074694875,0.032991049956047735,0.1606835455153761
1,3018Q3ZVOJCZJFDMPSFXATCQ4DARA2,recalled,"['The day started perfectly, with a great drive up to Denver for the show.', ""Me and my boyfriend didn't hit any traffic on the way to Red Rocks, and the weather was beautiful."", 'We met up with my friends at the show, near the top of the theater, and laid down a blanket.', 'The opener came on, and we danced our butts off to the banjoes and mandolins that were playing on-stage.', 'We were so happy to be there.', ""That's when the sunset started."", 'It was so beautiful.', 'The sky was a pastel pink and was beautiful to watch.', ""That's when Phil Lesh came on, and I just about died."", 'It was the happiest moment of my life, seeing him after almost a decade of not seeing him.', 'I was so happy to be there, with my friends and my love.', 'There was nothing that could top that night.', 'We drove home to a sky full of stars and stopped at an overlook to look up at them.', 'I love this place I live.', 'And I love live music.', 'I was so happy.']",-3.70043919,-3519.117669,-0.295027503,-0.146128138,-0.046460331,0.10646861633161953
2,3IRIK4HM3B6UQBC0HI8Q5TBJZLEC61,imagined,"['It seems just like yesterday but today makes five months ago it happened.', 'I had been watching my phone like an owl for the past week.', 'I was waiting for a work related call that my team was waiting for to close a important deal.', 'It wasnt the call I expected though.', 'It was for  my sister was in labor with the twins.', 'My sister is only 7 months pregnant.', 'I got the call shortly after arriving at work.', 'Just as fast I was back out the door and on my way to the hospital.', 'When I arrived my sister had just delivered and I just was in awe.', 'Even though they were a bit small they were mighty.', 'They were the most precious things I had ever seen.', 'I held my niece and nephew and couldnt stop crying.', 'Seeing the tears of joy my sister had was the most warming thing.', 'I am a mother myself but this was the first time for my sister.', 'It was a moment that we could bond and share the warmth of motherhood.', ""I will never forget the look on my brother in law's face as he absorbed the feeling of being  father for the first time."", 'His tears moved the room to tears.', 'It was the most surreal and beautiful moment.', 'The moment had so much of an impact because I can remember becoming a mother for the first time.', 'I am a single mother who is currently enrolled in RN school looking to finish next year.', 'I would do a survey like this again in the future.']",-4.030305747,-5618.246211,-0.016329144,0.094193062,0.1913485772994714,0.40075273106391807
3,3018Q3ZVOJCZJFDMPSFXATCQG04RAI,recalled,"['Five months ago, my niece and nephew were born.', ""They are my sister's first children, and I was so excited when she announced she was pregnant and I would be an aunt."", 'It was a huge shock when we learned she was having twins!', 'When they were born, I went to the hospital to visit with them.', ""I didn't stay long, even though she and her husband were exhausted."", 'They wanted to spend time alone as a new family.', 'I will never forget holding the babies for the first time.', 'My niece especially was tiny.', 'They were both premature, but she was only 5 pounds.', 'My nephew was a little bit bigger and seemed stronger.', 'We were all so grateful that there were no complications or health issues, which I learned can be common with twins.', 'They were both so perfect and tiny.', 'I was like holding tiny dolls.', 'I will never forget that day.', 'I love them more than I ever expected I would.']",-4.034930764,-3663.717134,-0.043447421,0.064158368,0.14821487248362342,0.30027225209318154
4,3MTMREQS4W44RBU8OMP3XSK8NMJAWZ,imagined,"['About a month ago I went to burning man.', 'I was having a hard time in my life and felt like I needed a break.', 'So I went to burning man.', 'I had a lot of fun and met some friends.', ""But now after it is done I'm having financial problems."", 'My bills keep coming and I owe people.', 'Including my new friends.', 'Everyday bills come and new bills come in the mail.', 'I always look at the caller ID now on my phone, just in case.', ""if I owe them money I don't want to answer."", 'Everyday it feels like I made a mistake by letting myself spend all my money.', ""I have to work extra hours but they won't give me any."", 'So the bills just keep piling up and I need to search around for a second job.', 'I barely have enough time for the first one.', 'I really should have thought about what would have happened in advance.']",-3.96254412,-3284.949075,-0.068829207,0.1962458885668954,0.23825374874881966,0.3218327717756786
5,3018Q3ZVOJCZJFDMPSFXATCQG06AR3,recalled,"['Burning Man metamorphoses was perfect.', 'I am definitely still recovering from it.', 'It is strange, now that I go out there and actually enjoy it more, I have a much harder time out in the default world.', 'I was gifted a tourmalized quartz by a super nice guy that was a volunteer at the box office.', 'I met him at the airport out there.', 'I have been having issues with money and just basically not caring at all.', 'I have had this problem before after coming home from burning man, but this year is definitely different.', 'I feel like since my journey to get there is (now) much easier on me that always, when I come back home to the default world, I need to account for the default world to pick up the slack.', ""It really does suck, though, this year I had to borrow money from Quickstep so that I wouldn't be evicted!"", 'I have been having such issues, from me not working enough and also all of the regular Burning Man bills.', 'I really wish that I had a lot more sources of income because there really is nothing I can do about it.', ""I wasn't able to go into work last week because I didn't have the money and no one will let me borrow any money."", 'It really sucks.', 'Thank god for Quickstep.', 'I still am not out of trouble yet.', 'Now, I am not feeling well.', 'I have a cold or something from my ear, but I found some allergy medicine that has been working.', 'I still owe Ashley money, Jason the puppy sitter, and I am late on paying my credit cards.', 'I wish that I would have just not paid my camp fees.', 'and also, worked more when I came back.', ""I also can't rent a car through Turo anymore because they want to charge me for some chipped paint.""]",-4.295525211,-7212.18683,-0.178268234,-0.102034136,-0.017882202,0.2607962690496324
6,36WLNQG780WFTLD990VT6XXEYVQEBZ,imagined,"['Play stupid games, win stupid prizes road trip edition.', 'Yikes.', 'I still cringe to this day thinking about what happened three months ago.', 'So Lynn, Eric and I were on the last leg of our road trip.', 'We were heading to Acadia National Park.', 'We were having a good time talking about what podcasts we were listening to lately.', 'I mentioned that I started listening to a new true crime podcast.', ""It piqued Eric's interest, so of course he turned around from the front passenger seat trying to get to his phone to pull up the podcast."", 'Lynn was driving and was taken aback by a grown man trying to get to his bag like he was still a kid.', 'It all happened so quickly.', 'I tried to tell Eric that I would grab his phone, and to sit back down.', ""But no he 's up already, and almost had it."", ""That's when Lynn decided to pinch him on the rear end."", 'All hell broke loose.', ""Eric didn't expect it and rolled on his side."", ""Too bad it was the driver's side."", 'Lynn lost control of the car for a moment and we began to swerve towards the trees.', 'Then she regained control.', 'For that moment, all I could think about us crashing into the trees and my parents.', 'Lynn pulled over to steady her nerves and to see if we were okay.', 'We were fine physically but had the one of the biggest scares in our life.', 'Moments later a police car pulled up to check if we were okay.', 'He told us about a diner on one of the exits that we could sit down and recollect ourselves.', 'We thanked him and detoured to the diner.', 'It was still morning so we had plenty of time to get to Acadia National Park.']",-4.10750792,-6633.625291,-0.200159583,-0.071920777,-0.018667313,0.16831105720081485
7,3018Q3ZVOJCZJFDMPSFXATCQG1OARN,recalled,"['Dear Diary,I would say this happened about 3 months ago.', 'It was during the summer, and all of our bags were packed.', 'My friends and I were ready to go to our trip to Acadia National Park.', 'We were extremely excited for this because we planned this all year long, and it was finally time to embark on our journey together.', 'It was about a 5 hour drive, and it took a long time, but during this drive, it was extremely eventful.', 'In fact, what happened that day could have been one of the scariest things that happened to us.', 'While listening to some music, my friend was driving the car and singing along, and stopped paying full attention to the road.', 'Suddenly, I could feel him drifting left to right and not have full control of the car.', 'This scared me instantly, and I shut down the music being in the passenger seat, and told him to focus on the road.', 'But there was a cop behind us looking at what we were doing, and he pulled us to the side just to ask to make sure if we were drunk or not.', ""Just experiencing that part really scared us because we knew we all weren't drunk, but the feeling of being pulled aside is a scary moment."", 'We continued with our journey, and the entire trip was great.', 'However, just that moment was the one thing that resided within our minds throughout the entire trip.', 'Going through this experience, I learned to always keep our eyes on the road.', 'I know it is a cliche story, but it is what actually happened, and it affected me in a very big way.']",-3.445818088,-5234.197676,-0.100440053,-0.021914532,0.001070442,0.12735101057415887
8,32Z9ZLUT1M6BWPTK368LXKUQWLLOHY,imagined,"['I wanted to write about one of the best days in the past year.', 'My girlfriend, and I went to the Columbus Zoo about a month ago.', 'It happened to be one of the hottest days recorded in July in the city!', 'We had been planning this trip for weeks, so despite the weather, we decided to stick to our plans.', 'Ashley and I have been working on spending more time together as we both work full-time jobs that prevent us from having date nights.', 'More recently, I have been asked to work overtime on weekends, but this weekend I knew it would be more beneficial to spend time with her.', 'We got to the zoo early before many of the large groups came and grabbed a snack from the snack bar so we could get a head start on seeing our favorite animals.', 'Ashley really enjoyed seeing the elephants and giraffes, while I wanted to see the tigers and lions.', 'The giraffes were running around playing with their young babies who looked as if they had just learned to walk.', 'We were really lucky to see the penguins who were out swimming in the afternoon, but not for very long.', 'It looked like they had gotten full from all of the fish they were being fed and went back into their private area to nap.', ""I couldn't blame them for that!"", 'It felt like a much needed day together with my girlfriend.', ""It meant a lot to me personally, as I have been stressed at work and Ashley finds a way to get me talk about some of the things I've been holding in."", 'It was truly a wonderful experience.', 'What was really neat is that the zoo offered free lemonade to their guests once the temperature got above 95 degrees.', 'Ashley must have had a gallon of lemonade that day!', 'I think Ashley had a great time also, as she talked about the animals on the entire drive back home.']",-3.55587658,-6325.904436,-0.025891637,0.063169892,0.12383988674219104,0.2811391893711921
9,3YGXWBAF713GBO8MYUFB8VR53RKC4M,retold,"['Me and my girlfriend had gone to the Los Angeles Zoo.', ""I can't exactly remember the day but I believe it was either April or May or maybe June."", 'It was a hot day that day and it was spur of the moment trip.', ""I honestly wasn't particularly excited to go but my girlfriend had been bugging me for months to go to the zoo so I finally said let's go."", 'We got there around 10 or 11 in the morning and it was already around 90 degrees.', 'When we walked in there was the insect/reptile section of the zoo so we saw many exotic looking spiders, snakes, scorpions etc.', ""I liked it but my girlfriend didn't like insects."", 'Then we walked in the African animals section.', 'We saw elephants mostly and we could hear monkeys and apes in the distance somewhere.', 'So we keep walking and eventually we find the apes.', 'We saw gorillas hanging out in the shade and in a different section we saw other chimps and monkeys.', 'We walked past that and we saw giraffes.', 'Watching the giraffes was a cool site because they got really close to us.', 'Like one of them was looking at me and came in my direction and I thought it would actually do something to me.', 'Then after we saw the lions and they were mostly hanging out in the shade to stay out of the heat.', 'We continued to walk around and we saw a section with Australian animals.', 'So we managed to see koalas in the tress and tasmanian devils.', ""I think we also saw kangaroos but I can't remember."", 'We spent a lot of time at the zoo maybe around 5-6 hours.', 'I think we left and we got back home around 4 or 5 pm.']",-3.981160616,-6286.252613,0.14004879943638082,0.3445430488090837,0.41174924143793845,0.5597120106274884
